COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
GBSM,444,412,306,532,304,3158,0.8233256351,3.67,0.20,0.88
GBSM,444,287,272,482,304,3226,0.8444825615,2.10,0.15,0.91
GBSM,444,411,306,533,309,3085,0.8195222648,3.01,0.18,0.78
GBSM,443,355,298,517,315,3500,0.8430753028,3.00,0.15,0.95
GBSM,442,355,293,507,311,3532,0.8467973856,2.85,0.17,1.02
GBSM,440,234,244,424,292,3090,0.8536292741,2.41,0.15,0.80
GBSM,438,234,244,418,296,3020,0.8504901961,2.20,0.13,0.82
GBSM,434,200,243,419,292,3338,0.8642837196,2.57,0.17,0.65
GBSM,434,279,276,486,306,2980,0.8304668305,2.52,0.13,0.72
GBSM,434,219,275,459,306,3152,0.8395097753,2.03,0.13,0.93
GBSM,432,200,257,414,307,3174,0.8501894491,2.49,0.15,0.91
GBSM,432,279,554,612,427,3077,0.6948499036,2.44,0.14,0.73
GBSM,432,219,287,435,303,3055,0.8282465589,2.11,0.13,1.04
GBSM,422,287,249,449,299,3557,0.8691539674,2.04,0.15,0.97
GBSM,421,330,257,453,293,3451,0.8613807983,2.34,0.15,1.12
GBSM,421,373,281,499,300,3317,0.8438021123,2.59,0.16,0.81
GBSM,420,375,281,496,298,3330,0.844364442,2.31,0.15,0.88
GBSM,420,287,249,445,302,3521,0.8679045093,2.19,0.14,0.89
GBSM,420,330,254,445,291,3447,0.8627398001,2.13,0.14,0.97
GBSM,418,344,254,443,297,3636,0.8694087404,2.48,0.15,1.04
GBSM,418,191,271,432,309,3445,0.8541442411,2.48,0.16,0.98
GBSM,417,205,257,453,300,3631,0.8677983539,2.38,0.15,0.91
GBSM,416,344,252,445,302,3643,0.8706033376,2.28,0.15,0.95
GBSM,416,191,272,433,311,3397,0.8517307168,2.38,0.15,1.06
GBSM,416,322,276,474,297,3257,0.8437588452,2.67,0.15,0.74
GBSM,416,205,258,455,300,3679,0.8689357379,2.41,0.16,1.22
GBSM,415,322,275,473,296,3301,0.846196868,2.41,0.17,0.84
GBSM,414,357,282,485,302,3609,0.8550501156,2.24,0.16,0.81
GBSM,413,357,273,475,302,3605,0.8592057762,2.39,0.16,0.78
GBSM,410,224,225,401,285,3381,0.8752079867,2.42,0.15,0.84
GBSM,409,224,226,391,287,3317,0.872424499,2.55,0.16,0.89
GBSM,405,411,323,544,312,3100,0.8112766579,2.42,0.15,0.86
GBSM,403,411,323,528,312,3185,0.8158494869,2.11,0.15,0.98
